record_id,date,category_id,name_id,role_id,activity_id,hours,money,comments
000000,2017-01-09 00:00:00,001,00022,06,0000,2.0,0.0,none
000001,2017-01-16 00:00:00,001,00001,06,0000,2.0,0.0,none
000002,2017-01-16 00:00:00,001,00005,00,0017,3.5,0.0,1022
000003,2017-01-21 00:00:00,000,00015,06,0000,2.5,0.0,none
000004,2017-01-21 00:00:00,000,00015,06,0007,2.0,0.0,none
000005,2017-01-21 00:00:00,000,00022,06,0000,2.0,0.0,none
000006,2017-01-21 00:00:00,000,00022,06,0007,2.0,0.0,none
000007,2017-01-21 00:00:00,000,00025,02,0007,5.5,0.0,none
000008,2017-01-21 00:00:00,000,00027,00,0007,1.0,0.0,none
000009,2017-01-21 00:00:00,000,00027,00,0017,1.0,0.0,none
000010,2017-01-21 00:00:00,000,00052,04,0007,2.0,0.0,none
000011,2017-01-21 00:00:00,000,00052,04,0017,3.5,0.0,none
000012,2017-01-22 00:00:00,000,00015,06,0007,3.25,0.0,none
000013,2017-01-22 00:00:00,000,00027,00,0007,1.0,0.0,none
000014,2017-01-23 00:00:00,000,00027,00,0017,1.0,0.0,none
000015,2017-01-25 00:00:00,000,00015,06,0007,3.0,0.0,none
000016,2017-01-25 00:00:00,000,00025,02,0007,3.75,0.0,none
000017,2017-01-25 00:00:00,000,00034,06,0007,2.0,0.0,none
000018,2017-01-25 00:00:00,000,00038,06,0007,2.0,0.0,none
000019,2017-01-25 00:00:00,000,00039,06,0007,2.0,0.0,none
000020,2017-01-25 00:00:00,000,00052,04,0007,2.0,0.0,none
000021,2017-01-26 00:00:00,000,00027,00,0003,2.0,0.0,none
000022,2017-01-26 00:00:00,001,00027,00,0015,1.25,0.0,none
000023,2017-01-28 00:00:00,000,00025,00,0007,4.25,0.0,none
000024,2017-01-28 00:00:00,000,00052,04,0007,6.75,0.0,none
000025,2017-02-01 00:00:00,000,00025,05,0007,3.75,0.0,none
000026,2017-02-01 00:00:00,000,00027,00,0017,2.0,0.0,none
000027,2017-02-01 00:00:00,000,00030,04,0007,3.5,0.0,none
000028,2017-02-01 00:00:00,000,00052,04,0007,4.0,0.0,none
000029,2017-02-01 00:00:00,000,00052,04,0009,1.0,0.0,none
000030,2017-02-03 00:00:00,000,00030,04,0003,0.75,0.0,none
000031,2017-02-04 00:00:00,000,00001,06,0007,1.0,0.0,none
000032,2017-02-04 00:00:00,000,00002,06,0007,2.75,0.0,none
000033,2017-02-04 00:00:00,000,00009,00,0007,2.5,0.0,none
000034,2017-02-04 00:00:00,000,00015,06,0007,3.0,0.0,none
000035,2017-02-04 00:00:00,000,00024,00,0007,2.5,0.0,none
000036,2017-02-04 00:00:00,000,00025,05,0007,5.0,0.0,none
000037,2017-02-04 00:00:00,000,00027,00,0009,1.5,0.0,none
000038,2017-02-04 00:00:00,000,00027,00,0017,5.75,0.0,none
000039,2017-02-04 00:00:00,000,00030,04,0007,4.5,0.0,none
000040,2017-02-04 00:00:00,000,00052,04,0004,7.25,0.0,none
000041,2017-02-07 00:00:00,003,00034,03,0020,3.5,0.0,none
000042,2017-02-08 00:00:00,000,00052,04,0004,4.5,0.0,none
000043,2017-02-08 00:00:00,000,00036,06,0007,4.5,0.0,none
000044,2017-02-08 00:00:00,000,00030,04,0007,4.5,0.0,none
000045,2017-02-08 00:00:00,000,00027,00,0017,1.0,0.0,none
000046,2017-02-08 00:00:00,000,00025,05,0007,4.5,0.0,none
000047,2017-02-08 00:00:00,000,00027,00,0003,1.0,0.0,none
000048,2017-02-10 00:00:00,000,00027,00,0007,7.0,0.0,none
000049,2017-02-11 00:00:00,000,00015,06,0007,2.25,0.0,none
000050,2017-02-11 00:00:00,000,00027,00,0009,1.0,0.0,none
000051,2017-02-11 00:00:00,000,00030,04,0007,4.75,0.0,none
000052,2017-02-11 00:00:00,000,00031,06,0003,1.0,0.0,none
000053,2017-02-11 00:00:00,000,00031,06,0007,3.0,0.0,none
000054,2017-02-11 00:00:00,000,00045,00,0008,4.0,0.0,none
000055,2017-02-11 00:00:00,000,00052,04,0001,6.5,0.0,none
000056,2017-02-14 00:00:00,000,00027,00,0003,1.0,0.0,none
000057,2017-02-15 00:00:00,000,00027,00,0017,1.25,0.0,none
000058,2017-02-15 00:00:00,000,00052,04,0008,5.0,0.0,none
000059,2017-02-15 00:00:00,000,00025,00,0007,4.5,0.0,none
000060,2017-02-15 00:00:00,000,00030,04,0007,4.0,0.0,none
000061,2017-02-17 00:00:00,000,00027,00,0017,0.25,0.0,none
000062,2017-02-17 00:00:00,000,00052,04,0008,5.75,0.0,none
000063,2017-02-18 00:00:00,000,00025,00,0007,4.5,0.0,none
000064,2017-02-18 00:00:00,000,00027,00,0017,7.5,0.0,none
000065,2017-02-18 00:00:00,000,00030,04,0007,5.0,0.0,none
000066,2017-02-18 00:00:00,000,00045,00,0008,4.0,0.0,none
000067,2017-02-18 00:00:00,000,00044,00,0007,28.5,0.0,none
000068,2017-02-18 00:00:00,001,00052,04,0015,5.0,0.0,none
000069,2017-02-19 00:00:00,000,00036,06,0007,2.5,0.0,none
000070,2017-02-19 00:00:00,000,00001,06,0007,2.5,0.0,none
000071,2017-02-19 00:00:00,000,00004,06,0007,2.25,0.0,none
000072,2017-02-19 00:00:00,000,00027,00,0017,2.0,0.0,none
000073,2017-02-19 00:00:00,000,00035,06,0007,2.75,0.0,none
000074,2017-02-20 00:00:00,000,00036,06,0007,1.0,0.0,none
000075,2017-02-20 00:00:00,000,00027,00,0017,2.25,0.0,none
000076,2017-02-20 00:00:00,000,00004,06,0007,0.75,0.0,none
000077,2017-02-20 00:00:00,000,00027,00,0003,2.0,0.0,none
000078,2017-02-20 00:00:00,000,00001,06,0007,1.0,0.0,none
000079,2017-02-22 00:00:00,000,00025,00,0007,4.0,0.0,none
000080,2017-02-22 00:00:00,000,00030,04,0007,4.0,0.0,none
000081,2017-02-22 00:00:00,000,00052,04,0015,0.25,0.0,none
000082,2017-02-22 00:00:00,000,00052,04,0008,4.75,0.0,none
000083,2017-02-23 00:00:00,000,00004,06,0007,1.0,0.0,none
000084,2017-02-25 00:00:00,000,00030,04,0020,2.5,0.0,none
000085,2017-02-25 00:00:00,000,00027,00,0006,4.0,0.0,none
000086,2017-02-25 00:00:00,000,00030,04,0007,2.25,0.0,none
000087,2017-02-25 00:00:00,000,00027,00,0017,2.0,0.0,none
000088,2017-02-25 00:00:00,001,00052,04,0015,5.0,0.0,none
000089,2017-02-25 00:00:00,000,00003,00,0006,3.5,0.0,none
000090,2017-02-25 00:00:00,000,00044,00,0007,5.5,0.0,none
000091,2017-02-25 00:00:00,000,00025,00,0007,5.0,0.0,none
000092,2017-03-01 00:00:00,001,00052,04,0015,4.5,0.0,none
000093,2017-03-01 00:00:00,000,00030,04,0007,3.5,0.0,none
000094,2017-03-01 00:00:00,000,00025,00,0007,3.0,0.0,none
000095,2017-03-04 00:00:00,000,00004,06,0007,1.5,0.0,none
000096,2017-03-04 00:00:00,000,00025,00,0007,5.0,0.0,none
000097,2017-03-04 00:00:00,000,00027,00,0017,2.0,0.0,none
000098,2017-03-04 00:00:00,000,00027,00,0007,5.5,0.0,none
000099,2017-03-04 00:00:00,001,00052,04,0015,6.5,0.0,none
000100,2017-03-08 00:00:00,000,00027,00,0007,1.0,0.0,none
000101,2017-03-08 00:00:00,001,00047,00,0000,1.5,0.0,none
000102,2017-03-10 00:00:00,000,00022,06,0000,1.25,0.0,none
000103,2017-03-10 00:00:00,000,00027,00,0003,2.0,0.0,none
000104,2017-03-10 00:00:00,000,00027,00,0009,1.0,0.0,none
000105,2017-03-10 00:00:00,000,00027,00,0017,0.5,0.0,none
000106,2017-03-11 00:00:00,000,00027,00,0017,0.5,0.0,none
000107,2017-03-11 00:00:00,000,00027,00,0006,6.25,0.0,none
000108,2017-03-11 00:00:00,000,00017,04,0006,6.25,0.0,none
000109,2017-03-11 00:00:00,000,00001,06,0000,0.5,0.0,none
000110,2017-03-12 00:00:00,000,00008,06,0006,2.0,0.0,none
000111,2017-03-12 00:00:00,000,00017,04,0006,1.0,0.0,none
000112,2017-03-12 00:00:00,000,00027,00,0006,3.75,0.0,none
000113,2017-03-13 00:00:00,000,00017,04,0006,3.5,0.0,none
000114,2017-03-13 00:00:00,000,00022,06,0008,2.0,0.0,none
000115,2017-03-13 00:00:00,000,00027,00,0006,7.75,0.0,none
000116,2017-03-14 00:00:00,000,00027,00,0017,0.5,0.0,none
000117,2017-04-15 00:00:00,001,00027,00,0016,7.0,0.0,none
000118,2017-04-20 00:00:00,003,00002,05,0016,3.0,0.0,none
000119,2017-04-20 00:00:00,003,00027,00,0017,1.0,0.0,none
000120,2017-04-21 00:00:00,000,00013,00,0000,0.5,0.0,none
000121,2017-04-22 00:00:00,001,00027,00,0007,6.0,0.0,none
000122,2017-04-23 00:00:00,003,00027,00,0016,7.0,0.0,none
000123,2017-04-23 00:00:00,001,00027,00,0007,1.0,0.0,none
000124,2017-04-24 00:00:00,003,00027,00,0016,7.0,0.0,none
000125,2017-04-27 00:00:00,003,00027,00,0012,3.25,0.0,none
000126,2017-04-29 00:00:00,003,00027,00,0016,6.0,0.0,none
000127,2017-04-29 00:00:00,001,00027,00,0007,2.5,0.0,none
000128,2017-04-29 00:00:00,000,00027,00,0000,1.0,0.0,none
000129,2017-04-29 00:00:00,003,00013,00,0016,2.0,0.0,none
000130,2017-04-29 00:00:00,003,00014,00,0012,1.5,0.0,none
000131,2017-05-01 00:00:00,003,00027,00,0016,5.0,0.0,none
000132,2017-05-02 00:00:00,001,00027,00,0017,1.5,0.0,none
000133,2017-05-02 00:00:00,003,00027,00,0009,1.75,0.0,none
000134,2017-05-03 00:00:00,001,00027,00,0009,0.75,0.0,none
000135,2017-05-03 00:00:00,001,00027,00,0017,0.5,0.0,none
000136,2017-05-07 00:00:00,001,00027,00,0015,0.75,0.0,none
000137,2017-05-07 00:00:00,001,00027,00,0000,0.75,0.0,none
000138,2017-05-09 00:00:00,000,00027,00,0014,0.75,0.0,none
000139,2017-05-10 00:00:00,001,00027,00,0009,1.25,0.0,none
